id,provincia,cantmiem,cantping,reldep,ingtoth,ingpch,gastot,gastotpc,gc_01,gc_02,gc_03,gc_04,gc_05,gc_06,gc_07,gc_08,gc_09,gc_10,gc_11,gc_12
371636148,2,1,1,1.0,34666.6666666667,34666.6666666667,26612.8303,26612.8303,3947.5311,1570.4477,1200.0,1423.285,7244.5665,0.0,0.0,2600.0,5631.0,2576.0,0.0,420.0
786839806,2,3,3,1.0,37050.0,12350.0,22791.5127,7597.1709,8019.9827,562.9,2500.0,1015.0,1459.18,2380.0,69.28,700.0,2780.0,0.0,1801.28,1503.89
238802175,2,1,1,1.0,53083.3333333333,53083.3333333333,22750.4268,22750.4268,2509.4948,0.0,350.0,2476.95,0.0,4700.0,131.632,3474.0,1842.0,0.0,6906.35,360.0
717622520,2,1,1,1.0,10666.6666666667,10666.6666666667,6757.07,6757.07,1000.23,1234.05,0.0,3750.0,0.0,0.0,272.79,500.0,0.0,0.0,0.0,0.0
255836702,2,4,2,2.0,58016.6666666667,14504.1666666667,50521.41,12630.3525,7629.46,0.0,4700.0,14100.0,8809.99,1467.87,316.09,1896.6,6525.0,0.0,4676.4,400.0
59931481,2,2,2,1.0,27450.0,13725.0,50100.85,25050.425,6503.66,0.0,2700.0,10302.0,3457.08,14600.0,1994.76,1850.0,800.0,0.0,7593.35,300.0
461843633,2,2,1,2.0,48750.0,24375.0,33568.0161,16784.00805,9622.126,0.0,3600.0,5519.5,3075.3501,2000.0,562.9,810.0,3815.64,500.0,2682.5,1380.0
636080654,2,2,2,1.0,79250.0,39625.0,60252.6494,30126.3247,13731.2094,33254.4,1800.0,3975.0,2789.7,0.0,303.1,1950.365,80.365,0.0,1952.83,415.68
565415171,2,3,2,1.5,50500.0,16833.3333333333,45905.56,15301.8533333333,20230.0198,801.05,4100.0,8590.0,780.8377,0.0,1437.56,1350.0,2479.4,0.0,2554.7,3581.9925
615469959,2,5,2,2.5,27000.0,5400.0,16388.523,3277.7046,3297.295,108.25,1300.0,10125.0,0.0,0.0,517.868,300.0,300.0,0.0,216.5,223.61
